commentCount,dislikeCount,favoriteCount,likeCount,viewCount
682,136,0,4375,288493
4184,1206,0,54756,3008641
791,143,0,10943,554947
216,30,0,1451,110789
90,9,0,194,12311
390,78,0,3772,279708
357,47,0,1919,154194
383,49,0,2421,219162
330,70,0,2928,193687
378,41,0,2661,148802
67,9,0,143,10338
434,105,0,4616,374711
269,28,0,1981,152730
318,40,0,2313,167508
334,46,0,2951,216042
70,3,0,159,10659
571,85,0,2603,181067
307,42,0,1975,164896
283,45,0,2866,230193
57,5,0,148,11251
244,45,0,1755,167702
207,38,0,1794,184308
242,39,0,1838,116246
237,14,0,1136,52159
77,15,0,119,9615
340,38,0,3388,247807
418,102,0,3325,309009
631,147,0,4478,506227
69,1,0,164,9954
313,23,0,3671,130677
349,41,0,2777,218363
57,6,0,188,9959
211,35,0,2408,177223
320,52,0,2073,170042
369,63,0,3137,259582
112,10,0,301,15009
236,50,0,2255,185718
298,34,0,2133,156412
161,12,0,424,26253
330,48,0,2895,220914
262,47,0,1236,101952
408,93,0,2441,244877
331,37,0,1970,155641
363,125,0,3866,400971
389,43,0,2596,255429
559,102,0,4092,340741
344,45,0,2381,157508
337,82,0,4042,349205
245,39,0,2024,227431
266,49,0,2375,231580
359,67,0,2643,306985
499,87,0,4401,363722
965,205,0,5031,467206
291,35,0,1901,142900
521,135,0,2827,291328
481,151,0,4296,396310
609,150,0,5725,660959
432,55,0,2882,147308
729,172,0,2759,157388
379,63,0,2908,191228
342,101,0,2932,293801
313,53,0,2679,185360
285,29,0,2076,102872
168,62,0,2904,290597
1185,186,0,9738,593271
228,41,0,2664,221373
505,96,0,6973,482478
448,124,0,4175,500558
368,54,0,2083,206841
371,96,0,2646,355652
278,29,0,1241,49577
484,98,0,3585,348955
547,187,0,5269,774927
281,47,0,1325,148360
224,62,0,2728,247068
269,76,0,1950,285497
291,60,0,4596,417589
236,27,0,1906,200136
335,42,0,2182,244292
471,126,0,4639,554060
315,63,0,3563,382594
506,132,0,5620,569171
197,26,0,1544,123456
367,88,0,7070,514852
377,77,0,4742,383519
317,108,0,4418,426755
376,67,0,3894,301854
263,75,0,2045,220020
192,47,0,2717,176201
242,43,0,1256,123577
361,163,0,6780,684862
922,300,0,8995,714521
338,108,0,4426,540777
1763,434,0,17461,1458487
273,42,0,2733,171001
123,32,0,1438,151162
184,42,0,2698,228401
347,89,0,4352,352689
141,37,0,1658,109477
87,20,0,950,46151
598,303,0,13032,1067784
132,39,0,1992,215541
142,45,0,1760,181480
226,37,0,1462,87137
165,71,0,3432,368858
286,95,0,3559,460680
370,91,0,5656,547337
241,61,0,3288,384272
161,30,0,2645,121845
243,45,0,1934,107525
119,27,0,1733,111993
258,45,0,3588,257618
262,72,0,3642,285193
157,36,0,1288,137109
310,48,0,3535,227737
261,80,0,4298,416778
73,25,0,1430,125807
261,43,0,2755,273100
205,38,0,2713,156048
176,99,0,3985,442430
14,7,0,83,5131
11,3,0,72,3793
12,11,0,80,6949
50,4,0,407,26904
7,1,0,84,4775
101,13,0,622,38724
1153,1059,0,24268,4569666
803,626,0,16542,2530100
492,226,0,5271,770035
587,306,0,5469,697092
1261,547,0,22589,2113113
733,405,0,9736,1339641
256,166,0,4931,800380
2824,2101,0,30865,4292332
2655,1117,0,42283,3988642
448,226,0,6976,1435688
122,80,0,2398,348881
181,109,0,2782,441705
412,211,0,8194,971112
541,104,0,7846,593524
931,516,0,10746,1855656
206,51,0,3160,386464
1550,1469,0,21869,4523120
128,92,0,2467,539269
148,17,0,1998,123876
688,494,0,13902,2529803
482,308,0,11224,1316606
207,51,0,3451,258318
34,11,0,277,18258
14,28,0,144,21923
270,64,0,1924,242509
241,311,0,4066,1168690
604,149,0,7901,756574
228,115,0,4635,550337
1028,613,0,19824,3025885
75,21,0,828,145617
659,132,0,7582,756813
225,266,0,5440,1103393
245,125,0,5402,763603
250,72,0,1934,224053
577,329,0,5879,1007368
7,1,0,66,2961
10,0,0,77,4786
4,0,0,43,2050
5,0,0,37,2017
7,0,0,70,2274
58,6,0,931,42195
1,3,0,39,1538
2,0,0,40,1751
19,0,0,350,17651
4,1,0,54,3126
7,1,0,65,4017
4,1,0,70,4654
6,2,0,102,5638
14,4,0,104,4222
8,1,0,83,5512
47,6,0,545,41397
13,3,0,163,33863
13,3,0,134,36887
301,31,0,2931,172214
